p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
8.9602662523344e-31,0.28740084804362,0.156,0.072,4.03821279460207e-26,CD8-LAYN,EIF2AK3
1.57019236969464e-30,-0.747187801562258,0.046,0.161,7.0765429717398e-26,CD8-LAYN,FOXP3
2.24869770425834e-30,0.359067737381287,0.497,0.356,1.01344308135515e-25,CD8-LAYN,ACTN4
2.57738402489991e-30,0.29680634222318,0.213,0.112,1.16157543234189e-25,CD8-LAYN,KIF21A
3.33504785930531e-30,0.4060282252477,0.62,0.487,1.50303936923172e-25,CD8-LAYN,SYTL3
3.392470594228e-30,0.365527713880995,0.56,0.426,1.52891864740668e-25,CD8-LAYN,TNFRSF1B
3.69729499851029e-30,0.375630369455771,0.421,0.29,1.66629690992862e-25,CD8-LAYN,DCXR
3.70398425639512e-30,-0.486131379868839,0.235,0.38,1.66931162467215e-25,CD8-LAYN,C10orf54
6.85320012814585e-30,0.397897193627128,0.388,0.256,3.08860023375277e-25,CD8-LAYN,THEMIS
6.88602873763605e-30,0.375379501435314,0.806,0.729,3.10339543147781e-25,CD8-LAYN,COTL1
9.23635507869384e-30,0.465601328358768,0.759,0.628,4.16264050686574e-25,CD8-LAYN,TRAC
1.01819712908642e-29,0.387006938985533,0.639,0.51,4.58881082136666e-25,CD8-LAYN,HSP90B1
1.02200198451575e-29,-0.417620118053383,0.081,0.205,4.60595854381557e-25,CD8-LAYN,THEM4
1.04533763930444e-29,0.268806336171091,0.883,0.821,4.71112767281724e-25,CD8-LAYN,SRP14
1.24395942074822e-29,-0.423718163059411,0.142,0.282,5.60627631742809e-25,CD8-LAYN,FAM102A
1.60817134117653e-29,0.323837410010125,0.266,0.154,7.24770660041439e-25,CD8-LAYN,RPS6KA1
1.98246785461277e-29,0.342842653939758,0.276,0.162,8.93458612716881e-25,CD8-LAYN,CD226
2.62779622964262e-29,-0.344782402870979,0.022,0.122,1.18429520477534e-24,CD8-LAYN,IL6R
3.38182610606821e-29,0.354837152966863,0.286,0.173,1.52412138948282e-24,CD8-LAYN,HDLBP
4.12456749505592e-29,0.252410280501055,0.203,0.105,1.8588600786718e-24,CD8-LAYN,SMCO4
4.6054609806503e-29,0.296392870640114,0.206,0.108,2.07558915475948e-24,CD8-LAYN,CMIP
6.14313106106289e-29,0.257090098874766,0.187,0.094,2.76858630659982e-24,CD8-LAYN,GFI1
7.34587081137042e-29,-0.404536765733099,0.902,0.933,3.31063705726842e-24,CD8-LAYN,RPS20
1.13125232801967e-28,-0.358994356408615,0.03,0.133,5.09832799191906e-24,CD8-LAYN,LSR
2.1507860825092e-28,-0.532682881333018,0.122,0.251,9.69316271665248e-24,CD8-LAYN,LYAR
2.40300562280278e-28,0.302270505563167,0.178,0.09,1.08298657408476e-23,CD8-LAYN,UBASH3B
3.52021686374641e-28,0.399805732948571,0.468,0.348,1.58649133615323e-23,CD8-LAYN,BIN1
4.19615146647274e-28,-0.329371286271142,0.862,0.879,1.89112154290993e-23,CD8-LAYN,EEF2
5.58130799859551e-28,-0.452846048280645,0.129,0.259,2.51538388880703e-23,CD8-LAYN,AQP3
6.01106920070449e-28,0.348596097692263,0.387,0.258,2.7090686673735e-23,CD8-LAYN,MFSD10
7.39801591764658e-28,-0.331544827543005,0.909,0.923,3.33413781376496e-23,CD8-LAYN,SARAF
7.77055485932362e-28,0.310982721227141,0.411,0.276,3.50203366399997e-23,CD8-LAYN,HMGN3
7.91155284959235e-28,0.279697260927891,0.222,0.122,3.56557863825428e-23,CD8-LAYN,CD151
1.01273733858099e-27,0.351561209990088,0.37,0.246,4.56420463751682e-23,CD8-LAYN,TMEM14C
1.35722721952201e-27,-0.431576015698477,0.117,0.247,6.11675163294179e-23,CD8-LAYN,NCF1
1.48184126565742e-27,0.25179465798294,0.135,0.061,6.67836221606488e-23,CD8-LAYN,SSH1
2.84452863272847e-27,0.364101058203399,0.291,0.18,1.28197216419807e-22,CD8-LAYN,GRAP2
3.0382718299149e-27,0.372183347077853,0.497,0.356,1.36928834830605e-22,CD8-LAYN,GLUL
3.49139808185513e-27,-0.428830655877545,0.141,0.271,1.57350328753047e-22,CD8-LAYN,ADD3
3.64811753811321e-27,0.36023481298771,0.22,0.123,1.64413361207686e-22,CD8-LAYN,MAST4
3.71540378182022e-27,0.320211947574418,0.318,0.199,1.67445817639074e-22,CD8-LAYN,TSEN54
4.4678127172297e-27,0.398713400886281,0.293,0.183,2.01355383540108e-22,CD8-LAYN,DUSP5
6.10291555742006e-27,0.355720677271154,0.236,0.136,2.75046198341807e-22,CD8-LAYN,RAB3GAP1
6.11505247117773e-27,0.265349284769476,0.251,0.144,2.75593184771038e-22,CD8-LAYN,JAKMIP1
8.21654700846084e-27,-0.341033643554027,0.044,0.149,3.70303340577313e-22,CD8-LAYN,RASGRP2
1.0433165017683e-26,0.279439267354685,0.912,0.853,4.70201881016938e-22,CD8-LAYN,CORO1A
1.35422077023625e-26,-0.55903304926281,0.32,0.455,6.10320216730072e-22,CD8-LAYN,PIK3R1
1.40751524520994e-26,-0.411518301892067,0.046,0.149,6.34338970711214e-22,CD8-LAYN,CCR4
1.63932930773891e-26,0.36044056788862,0.308,0.197,7.38812932411773e-22,CD8-LAYN,RASSF1
1.85260004379294e-26,-0.267248996025207,0.957,0.959,8.349297877366e-22,CD8-LAYN,RPL27
1.96733179139093e-26,-0.357438933568864,0.039,0.139,8.86637091744064e-22,CD8-LAYN,RASA3
2.79566956202409e-26,0.386114274521838,0.455,0.333,1.25995235821302e-21,CD8-LAYN,CDK2AP2
4.45436660419874e-26,0.356565924587697,0.506,0.381,2.00749394118029e-21,CD8-LAYN,PDIA6
4.6916314143854e-26,0.291495261283478,0.824,0.732,2.11442444583521e-21,CD8-LAYN,CD99
5.69141171773876e-26,0.318288606529372,0.272,0.165,2.56500543295051e-21,CD8-LAYN,ATP8A1
6.16962119928834e-26,0.346522283920908,0.223,0.127,2.78052488209527e-21,CD8-LAYN,SLC16A3
7.65050543077505e-26,0.260330467649307,0.203,0.111,3.4479297875417e-21,CD8-LAYN,S100PBP
8.84123688275961e-26,0.324935905437306,0.206,0.114,3.9845686383221e-21,CD8-LAYN,RASGEF1B
8.85325527752502e-26,-0.404315402986842,0.059,0.165,3.98998508847498e-21,CD8-LAYN,LINC00861
9.39300771214185e-26,-0.4259212916405,0.106,0.228,4.23324071570809e-21,CD8-LAYN,TIMP1
1.03306973563739e-25,0.335370978002502,0.246,0.144,4.65583868457061e-21,CD8-LAYN,COL6A3
2.11411084802314e-25,0.334502692943701,0.269,0.166,9.5278747698707e-21,CD8-LAYN,NFATC3
2.44034524313059e-25,-0.276391838908411,0.992,0.988,1.09981479417409e-20,CD8-LAYN,RPL21
2.78620838555721e-25,0.324898053848429,0.383,0.264,1.25568839520292e-20,CD8-LAYN,COMMD7
3.0348310226866e-25,0.306140673902509,0.404,0.281,1.36773764530439e-20,CD8-LAYN,LSM2
3.66814125607935e-25,0.268476612225422,0.266,0.158,1.65315790128984e-20,CD8-LAYN,OASL
3.78025097841954e-25,-0.341382807806182,0.042,0.14,1.70368351095412e-20,CD8-LAYN,P2RY8
3.89102516615533e-25,0.354721331087004,0.439,0.313,1.75360722188289e-20,CD8-LAYN,ATP1B3
5.99724287625283e-25,0.348398841706939,0.71,0.602,2.70283741946962e-20,CD8-LAYN,DYNLL1
6.13262608533235e-25,-0.384397370050859,0.274,0.407,2.76385192413759e-20,CD8-LAYN,TNFAIP8
7.0835111038052e-25,0.41615185875367,0.349,0.236,3.19239678426293e-20,CD8-LAYN,BAG3
8.59940032425452e-25,0.324130737181956,0.288,0.182,3.87557773813503e-20,CD8-LAYN,COMMD8
1.02652694836227e-24,-0.466543491446556,0.131,0.251,4.62635165087906e-20,CD8-LAYN,MAF
1.58196367095576e-24,0.334866819315046,0.637,0.523,7.1295938722634e-20,CD8-LAYN,ATP5G3
